pulled_at,dataset,season,url,status,bytes,sha256
2026-09-21T20:32:22,schedules,all,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,ok,2179519,59e1dde6c701
2026-09-21T20:32:22,pbp,2012,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2012.parquet,ok,19322039,447b90789104
2026-09-21T20:32:22,pbp,2013,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2013.parquet,ok,19521610,f454605a1983
2026-09-21T20:32:22,pbp,2014,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2014.parquet,ok,19360792,54c01408d8f0
2026-09-21T20:32:22,pbp,2015,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2015.parquet,ok,19545842,01b5ae7d0663
2026-09-21T20:32:22,pbp,2016,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2016.parquet,ok,19344382,95eba04e2145
2026-09-21T20:32:22,pbp,2017,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2017.parquet,ok,19050401,84eacd963c1f
2026-09-21T20:32:22,pbp,2018,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2018.parquet,ok,19072097,2e6f2dce7c7e
2026-09-21T20:32:22,pbp,2019,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2019.parquet,ok,19119729,60c3067017db
2026-09-21T20:32:22,pbp,2020,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2020.parquet,ok,19286459,8889f5d8782b
2026-09-21T20:32:22,pbp,2021,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2021.parquet,ok,20249925,333ad34378e5
2026-09-21T20:32:22,pbp,2022,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2022.parquet,ok,20426548,931121d88977
2026-09-21T20:32:22,pbp,2023,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2023.parquet,ok,20534088,bd3484731408
2026-09-21T20:32:22,pbp,2024,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2024.parquet,ok,20597560,3fd2896bc0b9
2026-09-21T20:32:22,pbp,2025,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2025.parquet,ok,20337029,c6ecedd6d678
2026-09-21T20:32:22,pbp,2026,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2026.parquet,ok,2435376,c2b3655f3df5
2026-09-21T20:32:22,injuries,2012,https://github.com/nflverse/nflverse-data/releases/download/injuries/injuries_2012.parquet,ok,120441,6b00cba84db8
2026-09-21T20:32:22,injuries,2013,https://github.com/nflverse/nflverse-data/releases/download/injuries/injuries_2013.parquet,ok,114312,b1409e73309e
2026-09-21T20:32:22,injuries,2014,https://github.com/nflverse/nflverse-data/releases/download/injuries/injuries_2014.parquet,ok,115033,720a8d4b371e
2026-09-21T20:32:22,injuries,2015,https://github.com/nflverse/nflverse-data/releases/download/injuries/injuries_2015.parquet,ok,117594,d958742ff453
