ts,source,season,week,home,away,home_spread,total,home_ml,away_ml,spread_odds_home,spread_odds_away,over_odds,under_odds,start,game_id
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,GB,ATL,6.0,43.5,-290.0,235.0,-112.0,-108.0,-118.0,-102.0,,2026_03_ATL_GB
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,BUF,LAC,7.0,50.5,-340.0,270.0,-112.0,-108.0,-105.0,-115.0,,2026_03_LAC_BUF
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,CLE,CAR,-2.5,42.5,124.0,-148.0,100.0,-120.0,-108.0,-112.0,,2026_03_CAR_CLE
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,DET,NYJ,6.5,48.5,-305.0,245.0,-110.0,-110.0,-105.0,-115.0,,2026_03_NYJ_DET
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,IND,HOU,-2.5,43.5,120.0,-142.0,-105.0,-115.0,-110.0,-110.0,,2026_03_HOU_IND
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,MIA,KC,-11.5,45.5,575.0,-850.0,-112.0,-108.0,-115.0,-105.0,,2026_03_KC_MIA
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,NYG,TEN,3.5,40.5,-175.0,145.0,-105.0,-115.0,-108.0,-112.0,,2026_03_TEN_NYG
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,PIT,CIN,-3.5,42.5,154.0,-185.0,-105.0,-115.0,-110.0,-110.0,,2026_03_CIN_PIT
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,WAS,SEA,-7.0,40.5,245.0,-305.0,-112.0,-108.0,-102.0,-118.0,,2026_03_SEA_WAS
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,JAX,NE,3.0,45.5,-166.0,140.0,-108.0,-112.0,-112.0,-108.0,,2026_03_NE_JAX
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,SF,ARI,8.5,47.5,-485.0,370.0,-105.0,-115.0,-115.0,-105.0,,2026_03_ARI_SF
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,TB,MIN,-1.5,42.5,100.0,-120.0,-110.0,-110.0,-112.0,-108.0,,2026_03_MIN_TB
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,DAL,BAL,-3.0,52.5,130.0,-155.0,-112.0,-108.0,-112.0,-108.0,,2026_03_BAL_DAL
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,NO,LV,3.0,43.5,-175.0,145.0,-120.0,100.0,-112.0,-108.0,,2026_03_LV_NO
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,DEN,LA,-2.5,45.5,114.0,-135.0,-110.0,-110.0,-110.0,-110.0,,2026_03_LA_DEN
2026-09-22T15-29-26Z,espn:Draft Kings,2026,3,CHI,PHI,-3.5,43.5,145.0,-175.0,-120.0,100.0,-110.0,-110.0,,2026_03_PHI_CHI
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,GB,ATL,6.0,44.5,-290.0,235.0,-112.0,-108.0,-102.0,-118.0,,2026_03_ATL_GB
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,BUF,LAC,7.0,50.5,-340.0,270.0,-112.0,-108.0,-105.0,-115.0,,2026_03_LAC_BUF
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,CLE,CAR,-2.5,42.5,124.0,-148.0,100.0,-120.0,-108.0,-112.0,,2026_03_CAR_CLE
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,DET,NYJ,6.5,48.5,-305.0,245.0,-110.0,-110.0,-105.0,-115.0,,2026_03_NYJ_DET
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,IND,HOU,-2.5,43.5,120.0,-142.0,-105.0,-115.0,-110.0,-110.0,,2026_03_HOU_IND
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,MIA,KC,-11.5,45.5,575.0,-850.0,-112.0,-108.0,-115.0,-105.0,,2026_03_KC_MIA
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,NYG,TEN,3.5,40.5,-175.0,145.0,-105.0,-115.0,-108.0,-112.0,,2026_03_TEN_NYG
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,PIT,CIN,-3.5,42.5,154.0,-185.0,-105.0,-115.0,-110.0,-110.0,,2026_03_CIN_PIT
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,WAS,SEA,-7.0,40.5,245.0,-305.0,-112.0,-108.0,-102.0,-118.0,,2026_03_SEA_WAS
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,JAX,NE,3.0,45.5,-166.0,140.0,-108.0,-112.0,-112.0,-108.0,,2026_03_NE_JAX
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,SF,ARI,8.5,47.5,-485.0,370.0,-105.0,-115.0,-115.0,-105.0,,2026_03_ARI_SF
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,TB,MIN,-1.5,42.5,100.0,-120.0,-110.0,-110.0,-112.0,-108.0,,2026_03_MIN_TB
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,DAL,BAL,-3.0,52.5,130.0,-155.0,-110.0,-110.0,-112.0,-108.0,,2026_03_BAL_DAL
2026-09-22T16-36-21Z,espn:DraftKings,2026,3,NO,LV,3.0,43.5,-175.0,145.0,-120.0,100.0,-112.0,-108.0,,2026_03_LV_NO
